Meter ID,Service Address,Occupant Name,Account Number,Reading Date,Cumulative Reading,Unit,Diagnostic Flag,Route,Notes
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2024-08-12,342262,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2024-09-13,350359,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2024-10-14,356834,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2024-11-15,361744,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2024-12-16,366970,gallons,,R2,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2024-08-12,288864,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2024-09-13,292174,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2024-10-14,295533,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2024-11-15,298056,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2024-12-16,300709,gallons,,R3,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2024-08-12,126657,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2024-09-13,129082,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2024-10-14,131274,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2024-11-15,133258,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2024-12-16,135051,gallons,,R4,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2024-08-12,282791,gallons,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2024-09-13,293624,gallons,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2024-10-14,301192,gallons,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2024-11-15,308111,gallons,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2024-12-16,314883,gallons,,R5,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2024-08-12,151660,gallons,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2024-09-13,157297,gallons,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2024-10-14,162243,gallons,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2024-11-15,165119,gallons,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2024-12-16,168644,gallons,,R6,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2024-08-12,202049,gallons,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2024-09-13,206995,gallons,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2024-10-14,210984,gallons,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2024-11-15,213984,gallons,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2024-12-16,216946,gallons,,R1,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2024-08-12,297978,gallons,,R2,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2024-09-13,303236,gallons,,R2,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2024-10-14,306838,gallons,,R2,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2024-11-15,310100,gallons,,R2,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2024-12-16,312733,gallons,,R2,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2024-08-12,185136,gallons,,R3,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2024-09-13,189556,gallons,,R3,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2024-10-14,193300,gallons,,R3,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2024-11-15,195529,gallons,,R3,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2024-12-16,197705,gallons,,R3,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2024-08-12,101157,gallons,,R4,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2024-09-13,111114,gallons,,R4,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2024-10-14,118119,gallons,,R4,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2024-11-15,124065,gallons,,R4,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2024-12-16,130127,gallons,,R4,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2024-08-12,285822,gallons,,R5,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2024-09-13,289075,gallons,,R5,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2024-10-14,292440,gallons,,R5,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2024-11-15,294488,gallons,,R5,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2024-12-16,296756,gallons,,R5,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2024-08-12,349768,gallons,,R6,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2024-09-13,357444,gallons,,R6,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2024-10-14,364361,gallons,,R6,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2024-11-15,370745,gallons,,R6,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2024-12-16,376036,gallons,,R6,
M-1012,"184 South Loop, Wiley, CO 81092",Resident 1012,A-20012,2024-08-12,113396,gallons,,R1,
M-1012,"184 South Loop, Wiley, CO 81092",Resident 1012,A-20012,2024-09-13,123633,gallons,,R1,
M-1012,"184 South Loop, Wiley, CO 81092",Resident 1012,A-20012,2024-10-14,130982,gallons,,R1,
M-1012,"184 South Loop, Wiley, CO 81092",Resident 1012,A-20012,2024-11-15,137686,gallons,,R1,
M-1012,"184 South Loop, Wiley, CO 81092",Resident 1012,A-20012,2024-12-16,144084,gallons,,R1,
M-1013,"191 Pioneer Rd, Wiley, CO 81092",Resident 1013,A-20013,2024-08-12,84460,gallons,,R2,
M-1013,"191 Pioneer Rd, Wiley, CO 81092",Resident 1013,A-20013,2024-09-13,92059,gallons,,R2,
M-1013,"191 Pioneer Rd, Wiley, CO 81092",Resident 1013,A-20013,2024-10-14,98227,gallons,,R2,
M-1013,"191 Pioneer Rd, Wiley, CO 81092",Resident 1013,A-20013,2024-11-15,103690,gallons,,R2,
M-1013,"191 Pioneer Rd, Wiley, CO 81092",Resident 1013,A-20013,2024-12-16,108409,gallons,,R2,
M-1014,"198 Cottonwood Dr, Wiley, CO 81092",Resident 1014,A-20014,2024-08-12,395753,gallons,,R3,
M-1014,"198 Cottonwood Dr, Wiley, CO 81092",Resident 1014,A-20014,2024-09-13,399254,gallons,,R3,
M-1014,"198 Cottonwood Dr, Wiley, CO 81092",Resident 1014,A-20014,2024-10-14,401881,gallons,,R3,
M-1014,"198 Cottonwood Dr, Wiley, CO 81092",Resident 1014,A-20014,2024-11-15,403845,gallons,,R3,
M-1014,"198 Cottonwood Dr, Wiley, CO 81092",Resident 1014,A-20014,2024-12-16,406172,gallons,,R3,
M-1015,"205 Sand Creek Rd, Wiley, CO 81092",Resident 1015,A-20015,2024-08-12,341999,gallons,,R4,
M-1015,"205 Sand Creek Rd, Wiley, CO 81092",Resident 1015,A-20015,2024-09-13,351101,gallons,,R4,
M-1015,"205 Sand Creek Rd, Wiley, CO 81092",Resident 1015,A-20015,2024-10-14,358478,gallons,,R4,
M-1015,"205 Sand Creek Rd, Wiley, CO 81092",Resident 1015,A-20015,2024-11-15,363657,gallons,,R4,
M-1015,"205 Sand Creek Rd, Wiley, CO 81092",Resident 1015,A-20015,2024-12-16,369305,gallons,,R4,
M-1016,"212 Prairie View, Wiley, CO 81092",Resident 1016,A-20016,2024-08-12,66421,gallons,,R5,
M-1016,"212 Prairie View, Wiley, CO 81092",Resident 1016,A-20016,2024-09-13,72303,gallons,,R5,
M-1016,"212 Prairie View, Wiley, CO 81092",Resident 1016,A-20016,2024-10-14,77154,gallons,,R5,
M-1016,"212 Prairie View, Wiley, CO 81092",Resident 1016,A-20016,2024-11-15,81282,gallons,,R5,
M-1016,"212 Prairie View, Wiley, CO 81092",Resident 1016,A-20016,2024-12-16,85983,gallons,,R5,
M-1017,"219 School House Rd, Wiley, CO 81092",Resident 1017,A-20017,2024-08-12,102234,gallons,,R6,
M-1017,"219 School House Rd, Wiley, CO 81092",Resident 1017,A-20017,2024-09-13,105135,gallons,,R6,
M-1017,"219 School House Rd, Wiley, CO 81092",Resident 1017,A-20017,2024-10-14,107236,gallons,,R6,
M-1017,"219 School House Rd, Wiley, CO 81092",Resident 1017,A-20017,2024-11-15,109178,gallons,,R6,
M-1017,"219 School House Rd, Wiley, CO 81092",Resident 1017,A-20017,2024-12-16,111286,gallons,,R6,
M-1018,"226 Cemetery Rd, Wiley, CO 81092",Resident 1018,A-20018,2024-08-12,176784,gallons,,R1,
M-1018,"226 Cemetery Rd, Wiley, CO 81092",Resident 1018,A-20018,2024-09-13,179708,gallons,,R1,
M-1018,"226 Cemetery Rd, Wiley, CO 81092",Resident 1018,A-20018,2024-10-14,182364,gallons,,R1,
M-1018,"226 Cemetery Rd, Wiley, CO 81092",Resident 1018,A-20018,2024-11-15,184052,gallons,,R1,
M-1018,"226 Cemetery Rd, Wiley, CO 81092",Resident 1018,A-20018,2024-12-16,185681,gallons,,R1,
M-1019,"233 Grain Elevator Rd, Wiley, CO 81092",Resident 1019,A-20019,2024-08-12,140898,gallons,,R2,
M-1019,"233 Grain Elevator Rd, Wiley, CO 81092",Resident 1019,A-20019,2024-09-13,144301,gallons,,R2,
M-1019,"233 Grain Elevator Rd, Wiley, CO 81092",Resident 1019,A-20019,2024-10-14,147034,gallons,,R2,
M-1019,"233 Grain Elevator Rd, Wiley, CO 81092",Resident 1019,A-20019,2024-11-15,149221,gallons,,R2,
M-1019,"233 Grain Elevator Rd, Wiley, CO 81092",Resident 1019,A-20019,2024-12-16,151359,gallons,,R2,
M-1020,"240 Main St, Wiley, CO 81092",Resident 1020,A-20020,2024-08-12,269028,gallons,,R3,
M-1020,"240 Main St, Wiley, CO 81092",Resident 1020,A-20020,2024-09-13,273054,gallons,,R3,
M-1020,"240 Main St, Wiley, CO 81092",Resident 1020,A-20020,2024-10-14,276834,gallons,,R3,
M-1020,"240 Main St, Wiley, CO 81092",Resident 1020,A-20020,2024-11-15,279634,gallons,,R3,
M-1020,"240 Main St, Wiley, CO 81092",Resident 1020,A-20020,2024-12-16,282682,gallons,,R3,
M-1021,"247 County Rd 10, Wiley, CO 81092",Resident 1021,A-20021,2024-08-12,310084,gallons,,R4,
M-1021,"247 County Rd 10, Wiley, CO 81092",Resident 1021,A-20021,2024-09-13,314589,gallons,,R4,
M-1021,"247 County Rd 10, Wiley, CO 81092",Resident 1021,A-20021,2024-10-14,318292,gallons,,R4,
M-1021,"247 County Rd 10, Wiley, CO 81092",Resident 1021,A-20021,2024-11-15,321600,gallons,,R4,
M-1021,"247 County Rd 10, Wiley, CO 81092",Resident 1021,A-20021,2024-12-16,324511,gallons,,R4,
M-1022,"254 County Rd 14, Wiley, CO 81092",Resident 1022,A-20022,2024-08-12,311701,gallons,,R5,
M-1022,"254 County Rd 14, Wiley, CO 81092",Resident 1022,A-20022,2024-09-13,318626,gallons,,R5,
M-1022,"254 County Rd 14, Wiley, CO 81092",Resident 1022,A-20022,2024-10-14,324113,gallons,,R5,
M-1022,"254 County Rd 14, Wiley, CO 81092",Resident 1022,A-20022,2024-11-15,328794,gallons,,R5,
M-1022,"254 County Rd 14, Wiley, CO 81092",Resident 1022,A-20022,2024-12-16,333500,gallons,,R5,
M-1023,"261 Highway 287, Wiley, CO 81092",Resident 1023,A-20023,2024-08-12,172175,gallons,,R6,
M-1023,"261 Highway 287, Wiley, CO 81092",Resident 1023,A-20023,2024-09-13,180794,gallons,,R6,
M-1023,"261 Highway 287, Wiley, CO 81092",Resident 1023,A-20023,2024-10-14,188442,gallons,,R6,
