meter_id,service_addr,customer,acct,read_dt,reading,units,diag,route,comment
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025/01/12,371863,gal,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025/02/13,377842,gal,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025/03/14,385799,gal,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025/04/15,393023,gal,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025/05/16,400673,gal,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2025/06/12,409479,gal,,R2,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025/01/12,303050,gal,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025/02/13,305255,gal,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025/03/14,308582,gal,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025/04/15,311649,gal,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025/05/16,315322,gal,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2025/06/12,319537,gal,,R3,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025/01/12,137020,gal,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025/02/13,138610,gal,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025/03/14,140984,gal,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025/04/15,143566,gal,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025/05/16,146544,gal,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2025/06/12,150007,gal,,R4,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025/01/12,321001,gal,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025/02/13,326285,gal,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025/03/14,334966,gal,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025/04/15,342619,gal,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025/05/16,353389,gal,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2025/06/12,363222,gal,,R5,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025/01/12,171997,gal,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025/02/13,175144,gal,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025/03/14,179407,gal,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025/04/15,183809,gal,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025/05/16,189582,gal,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2025/06/12,195153,gal,,R6,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2025/01/12,220059,gal,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2025/02/13,223080,gal,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2025/03/14,226735,gal,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2025/04/15,231324,gal,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2025/05/16,236251,gal,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2025/06/12,241471,gal,,R1,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2025/01/12,315353,gal,,R2,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2025/02/13,318165,gal,,R2,
