meter_id,service_addr,customer,acct,read_dt,reading,units,diag,route,comment
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2024/08/12,342262,gal,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2024/09/13,350359,gal,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2024/10/14,356834,gal,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2024/11/15,361744,gal,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2024/12/16,366970,gal,,R2,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2024/08/12,288864,gal,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2024/09/13,292174,gal,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2024/10/14,295533,gal,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2024/11/15,298056,gal,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2024/12/16,300709,gal,,R3,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2024/08/12,126657,gal,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2024/09/13,129082,gal,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2024/10/14,131274,gal,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2024/11/15,133258,gal,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2024/12/16,135051,gal,,R4,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2024/08/12,282791,gal,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2024/09/13,293624,gal,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2024/10/14,301192,gal,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2024/11/15,308111,gal,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2024/12/16,314883,gal,,R5,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2024/08/12,151660,gal,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2024/09/13,157297,gal,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2024/10/14,162243,gal,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2024/11/15,165119,gal,,R6,
M-1005,"135 Oak St, Wiley, CO 81092",Resident 1005,A-20005,2024/12/16,168644,gal,,R6,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2024/08/12,202049,gal,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2024/09/13,206995,gal,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2024/10/14,210984,gal,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2024/11/15,213984,gal,,R1,
M-1006,"142 Elm St, Wiley, CO 81092",Resident 1006,A-20006,2024/12/16,216946,gal,,R1,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2024/08/12,297978,gal,,R2,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2024/09/13,303236,gal,,R2,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2024/10/14,306838,gal,,R2,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2024/11/15,310100,gal,,R2,
M-1007,"149 3rd Ave, Wiley, CO 81092",Resident 1007,A-20007,2024/12/16,312733,gal,,R2,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2024/08/12,185136,gal,,R3,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2024/09/13,189556,gal,,R3,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2024/10/14,193300,gal,,R3,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2024/11/15,195529,gal,,R3,
M-1008,"156 5th St, Wiley, CO 81092",Resident 1008,A-20008,2024/12/16,197705,gal,,R3,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2024/08/12,101157,gal,,R4,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2024/09/13,111114,gal,,R4,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2024/10/14,118119,gal,,R4,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2024/11/15,124065,gal,,R4,
M-1009,"163 Ranch Rd, Wiley, CO 81092",Resident 1009,A-20009,2024/12/16,130127,gal,,R4,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2024/08/12,285822,gal,,R5,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2024/09/13,289075,gal,,R5,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2024/10/14,292440,gal,,R5,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2024/11/15,294488,gal,,R5,
M-1010,"170 Irrigation Ln, Wiley, CO 81092",Resident 1010,A-20010,2024/12/16,296756,gal,,R5,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2024/08/12,349768,gal,,R6,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2024/09/13,357444,gal,,R6,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2024/10/14,364361,gal,,R6,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2024/11/15,370745,gal,,R6,
M-1011,"177 North Frontage, Wiley, CO 81092",Resident 1011,A-20011,2024/12/16,376036,gal,,R6,
M-1012,"184 South Loop, Wiley, CO 81092",Resident 1012,A-20012,2024/08/12,113396,gal,,R1,
M-1012,"184 South Loop, Wiley, CO 81092",Resident 1012,A-20012,2024/09/13,123633,gal,,R1,
M-1012,"184 South Loop, Wiley, CO 81092",Resident 1012,A-20012,2024/10/14,130982,gal,,R1,
M-1012,"184 South Loop, Wiley, CO 81092",Resident 1012,A-20012,2024/11/15,137686,gal,,R1,
M-1012,"184 South Loop, Wiley, CO 81092",Resident 1012,A-20012,2024/12/16,144084,gal,,R1,
M-1013,"191 Pioneer Rd, Wiley, CO 81092",Resident 1013,A-20013,2024/08/12,84460,gal,,R2,
M-1013,"191 Pioneer Rd, Wiley, CO 81092",Resident 1013,A-20013,2024/09/13,92059,gal,,R2,
M-1013,"191 Pioneer Rd, Wiley, CO 81092",Resident 1013,A-20013,2024/10/14,98227,gal,,R2,
M-1013,"191 Pioneer Rd, Wiley, CO 81092",Resident 1013,A-20013,2024/11/15,103690,gal,,R2,
M-1013,"191 Pioneer Rd, Wiley, CO 81092",Resident 1013,A-20013,2024/12/16,108409,gal,,R2,
M-1014,"198 Cottonwood Dr, Wiley, CO 81092",Resident 1014,A-20014,2024/08/12,395753,gal,,R3,
M-1014,"198 Cottonwood Dr, Wiley, CO 81092",Resident 1014,A-20014,2024/09/13,399254,gal,,R3,
M-1014,"198 Cottonwood Dr, Wiley, CO 81092",Resident 1014,A-20014,2024/10/14,401881,gal,,R3,
M-1014,"198 Cottonwood Dr, Wiley, CO 81092",Resident 1014,A-20014,2024/11/15,403845,gal,,R3,
M-1014,"198 Cottonwood Dr, Wiley, CO 81092",Resident 1014,A-20014,2024/12/16,406172,gal,,R3,
M-1015,"205 Sand Creek Rd, Wiley, CO 81092",Resident 1015,A-20015,2024/08/12,341999,gal,,R4,
M-1015,"205 Sand Creek Rd, Wiley, CO 81092",Resident 1015,A-20015,2024/09/13,351101,gal,,R4,
M-1015,"205 Sand Creek Rd, Wiley, CO 81092",Resident 1015,A-20015,2024/10/14,358478,gal,,R4,
M-1015,"205 Sand Creek Rd, Wiley, CO 81092",Resident 1015,A-20015,2024/11/15,363657,gal,,R4,
M-1015,"205 Sand Creek Rd, Wiley, CO 81092",Resident 1015,A-20015,2024/12/16,369305,gal,,R4,
M-1016,"212 Prairie View, Wiley, CO 81092",Resident 1016,A-20016,2024/08/12,66421,gal,,R5,
M-1016,"212 Prairie View, Wiley, CO 81092",Resident 1016,A-20016,2024/09/13,72303,gal,,R5,
M-1016,"212 Prairie View, Wiley, CO 81092",Resident 1016,A-20016,2024/10/14,77154,gal,,R5,
M-1016,"212 Prairie View, Wiley, CO 81092",Resident 1016,A-20016,2024/11/15,81282,gal,,R5,
M-1016,"212 Prairie View, Wiley, CO 81092",Resident 1016,A-20016,2024/12/16,85983,gal,,R5,
M-1017,"219 School House Rd, Wiley, CO 81092",Resident 1017,A-20017,2024/08/12,102234,gal,,R6,
M-1017,"219 School House Rd, Wiley, CO 81092",Resident 1017,A-20017,2024/09/13,105135,gal,,R6,
M-1017,"219 School House Rd, Wiley, CO 81092",Resident 1017,A-20017,2024/10/14,107236,gal,,R6,
M-1017,"219 School House Rd, Wiley, CO 81092",Resident 1017,A-20017,2024/11/15,109178,gal,,R6,
M-1017,"219 School House Rd, Wiley, CO 81092",Resident 1017,A-20017,2024/12/16,111286,gal,,R6,
M-1018,"226 Cemetery Rd, Wiley, CO 81092",Resident 1018,A-20018,2024/08/12,176784,gal,,R1,
M-1018,"226 Cemetery Rd, Wiley, CO 81092",Resident 1018,A-20018,2024/09/13,179708,gal,,R1,
M-1018,"226 Cemetery Rd, Wiley, CO 81092",Resident 1018,A-20018,2024/10/14,182364,gal,,R1,
M-1018,"226 Cemetery Rd, Wiley, CO 81092",Resident 1018,A-20018,2024/11/15,184052,gal,,R1,
M-1018,"226 Cemetery Rd, Wiley, CO 81092",Resident 1018,A-20018,2024/12/16,185681,gal,,R1,
M-1019,"233 Grain Elevator Rd, Wiley, CO 81092",Resident 1019,A-20019,2024/08/12,140898,gal,,R2,
M-1019,"233 Grain Elevator Rd, Wiley, CO 81092",Resident 1019,A-20019,2024/09/13,144301,gal,,R2,
M-1019,"233 Grain Elevator Rd, Wiley, CO 81092",Resident 1019,A-20019,2024/10/14,147034,gal,,R2,
M-1019,"233 Grain Elevator Rd, Wiley, CO 81092",Resident 1019,A-20019,2024/11/15,149221,gal,,R2,
M-1019,"233 Grain Elevator Rd, Wiley, CO 81092",Resident 1019,A-20019,2024/12/16,151359,gal,,R2,
M-1020,"240 Main St, Wiley, CO 81092",Resident 1020,A-20020,2024/08/12,269028,gal,,R3,
M-1020,"240 Main St, Wiley, CO 81092",Resident 1020,A-20020,2024/09/13,273054,gal,,R3,
M-1020,"240 Main St, Wiley, CO 81092",Resident 1020,A-20020,2024/10/14,276834,gal,,R3,
M-1020,"240 Main St, Wiley, CO 81092",Resident 1020,A-20020,2024/11/15,279634,gal,,R3,
M-1020,"240 Main St, Wiley, CO 81092",Resident 1020,A-20020,2024/12/16,282682,gal,,R3,
M-1021,"247 County Rd 10, Wiley, CO 81092",Resident 1021,A-20021,2024/08/12,310084,gal,,R4,
M-1021,"247 County Rd 10, Wiley, CO 81092",Resident 1021,A-20021,2024/09/13,314589,gal,,R4,
M-1021,"247 County Rd 10, Wiley, CO 81092",Resident 1021,A-20021,2024/10/14,318292,gal,,R4,
M-1021,"247 County Rd 10, Wiley, CO 81092",Resident 1021,A-20021,2024/11/15,321600,gal,,R4,
M-1021,"247 County Rd 10, Wiley, CO 81092",Resident 1021,A-20021,2024/12/16,324511,gal,,R4,
M-1022,"254 County Rd 14, Wiley, CO 81092",Resident 1022,A-20022,2024/08/12,311701,gal,,R5,
M-1022,"254 County Rd 14, Wiley, CO 81092",Resident 1022,A-20022,2024/09/13,318626,gal,,R5,
M-1022,"254 County Rd 14, Wiley, CO 81092",Resident 1022,A-20022,2024/10/14,324113,gal,,R5,
M-1022,"254 County Rd 14, Wiley, CO 81092",Resident 1022,A-20022,2024/11/15,328794,gal,,R5,
M-1022,"254 County Rd 14, Wiley, CO 81092",Resident 1022,A-20022,2024/12/16,333500,gal,,R5,
M-1023,"261 Highway 287, Wiley, CO 81092",Resident 1023,A-20023,2024/08/12,172175,gal,,R6,
M-1023,"261 Highway 287, Wiley, CO 81092",Resident 1023,A-20023,2024/09/13,180794,gal,,R6,
M-1023,"261 Highway 287, Wiley, CO 81092",Resident 1023,A-20023,2024/10/14,188442,gal,,R6,
M-1023,"261 Highway 287, Wiley, CO 81092",Resident 1023,A-20023,2024/11/15,193844,gal,,R6,
M-1023,"261 Highway 287, Wiley, CO 81092",Resident 1023,A-20023,2024/12/16,198819,gal,,R6,
M-1024,"268 Maple Ave, Wiley, CO 81092",Resident 1024,A-20024,2024/08/12,264000,gal,,R1,
M-1024,"268 Maple Ave, Wiley, CO 81092",Resident 1024,A-20024,2024/09/13,267077,gal,,R1,
M-1024,"268 Maple Ave, Wiley, CO 81092",Resident 1024,A-20024,2024/10/14,269512,gal,,R1,
M-1024,"268 Maple Ave, Wiley, CO 81092",Resident 1024,A-20024,2024/11/15,271221,gal,,R1,
M-1024,"268 Maple Ave, Wiley, CO 81092",Resident 1024,A-20024,2024/12/16,272896,gal,,R1,
M-1025,"275 Oak St, Wiley, CO 81092",Resident 1025,A-20025,2024/08/12,90179,gal,,R2,
M-1025,"275 Oak St, Wiley, CO 81092",Resident 1025,A-20025,2024/09/13,97596,gal,,R2,
M-1025,"275 Oak St, Wiley, CO 81092",Resident 1025,A-20025,2024/10/14,104893,gal,,R2,
M-1025,"275 Oak St, Wiley, CO 81092",Resident 1025,A-20025,2024/11/15,110462,gal,,R2,
M-1025,"275 Oak St, Wiley, CO 81092",Resident 1025,A-20025,2024/12/16,114943,gal,,R2,
M-1026,"282 Elm St, Wiley, CO 81092",Resident 1026,A-20026,2024/08/12,142182,gal,,R3,
M-1026,"282 Elm St, Wiley, CO 81092",Resident 1026,A-20026,2024/09/13,146839,gal,,R3,
M-1026,"282 Elm St, Wiley, CO 81092",Resident 1026,A-20026,2024/10/14,150639,gal,,R3,
M-1026,"282 Elm St, Wiley, CO 81092",Resident 1026,A-20026,2024/11/15,153483,gal,,R3,
M-1026,"282 Elm St, Wiley, CO 81092",Resident 1026,A-20026,2024/12/16,156173,gal,,R3,
M-1027,"289 3rd Ave, Wiley, CO 81092",Resident 1027,A-20027,2024/08/12,260857,gal,,R4,
M-1027,"289 3rd Ave, Wiley, CO 81092",Resident 1027,A-20027,2024/09/13,269542,gal,,R4,
M-1027,"289 3rd Ave, Wiley, CO 81092",Resident 1027,A-20027,2024/10/14,278279,gal,,R4,
M-1027,"289 3rd Ave, Wiley, CO 81092",Resident 1027,A-20027,2024/11/15,284935,gal,,R4,
M-1027,"289 3rd Ave, Wiley, CO 81092",Resident 1027,A-20027,2024/12/16,290773,gal,,R4,
M-1028,"296 5th St, Wiley, CO 81092",Resident 1028,A-20028,2024/08/12,61629,gal,,R5,
M-1028,"296 5th St, Wiley, CO 81092",Resident 1028,A-20028,2024/09/13,71435,gal,,R5,
M-1028,"296 5th St, Wiley, CO 81092",Resident 1028,A-20028,2024/10/14,78987,gal,,R5,
M-1028,"296 5th St, Wiley, CO 81092",Resident 1028,A-20028,2024/11/15,84405,gal,,R5,
M-1028,"296 5th St, Wiley, CO 81092",Resident 1028,A-20028,2024/12/16,90242,gal,,R5,
M-1029,"303 Ranch Rd, Wiley, CO 81092",Resident 1029,A-20029,2024/08/12,266124,gal,,R6,
M-1029,"303 Ranch Rd, Wiley, CO 81092",Resident 1029,A-20029,2024/09/13,276120,gal,,R6,
M-1029,"303 Ranch Rd, Wiley, CO 81092",Resident 1029,A-20029,2024/10/14,283133,gal,,R6,
