Meter ID,Service Address,Occupant Name,Account Number,Reading Date,Cumulative Reading,Unit,Diagnostic Flag,Route,Notes
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2026-01-14,460593,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2026-02-15,465817,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2026-03-16,474328,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2026-04-12,481883,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2026-05-13,490851,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2026-06-14,500575,gallons,,R2,
M-1001,"107 County Rd 10, Wiley, CO 81092",Resident 1001,A-20001,2026-07-15,509182,gallons,,R2,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2026-01-14,342553,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2026-02-15,345206,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2026-03-16,348247,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2026-04-12,351180,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2026-05-13,354414,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2026-06-14,358317,gallons,,R3,
M-1002,"114 County Rd 14, Wiley, CO 81092",Resident 1002,A-20002,2026-07-15,362892,gallons,,R3,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2026-01-14,166604,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2026-02-15,168195,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2026-03-16,170609,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2026-04-12,173343,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2026-05-13,175844,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2026-06-14,179088,gallons,,R4,
M-1003,"121 Highway 287, Wiley, CO 81092",Resident 1003,A-20003,2026-07-15,182756,gallons,,R4,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2026-01-14,422655,gallons,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2026-02-15,428443,gallons,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2026-03-16,436487,gallons,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2026-04-12,444420,gallons,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2026-05-13,453629,gallons,,R5,
M-1004,"128 Maple Ave, Wiley, CO 81092",Resident 1004,A-20004,2026-06-14,464542,gallons,,R5,
